ID,,TÊN TOÀ NHÀ,ĐỊA CHỈ,QUẬN,SL SEE,TẦNG SE,VỊ TRÍ,LINKS
TTSA-1.1,TTSA,THỦ THIÊM SKY BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",1.1,Viettel Telecom | Dịch Vụ Viễn Thông & Công Nghệ Hàng Đầu
TTSA-1.2,TTSA,THỦ THIÊM SKY BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",1.2,NOTE GROUP - Công Ty Quảng Cáo Ngoài Trời Uy Tín Chuyên Nghiệp
TTSA-B.1,TTSA,THỦ THIÊM SKY BLOCK A,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",B.1,Viettel Telecom | Dịch Vụ Viễn Thông & Công Nghệ Hàng Đầu
TTSB-1.1,TTSB,THỦ THIÊM SKY BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",1.1,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
TTSB-1.2,TTSB,THỦ THIÊM SKY BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",1.2,NOTE GROUP - Công Ty Quảng Cáo Ngoài Trời Uy Tín Chuyên Nghiệp
TTSB-B.1,TTSB,THỦ THIÊM SKY BLOCK B,188/1 NGUYỄN VĂN HƯỞNG P.THẢO ĐIỀN,Q2,"2,1","1 , B",B.1,Viettel Telecom | Dịch Vụ Viễn Thông & Công Nghệ Hàng Đầu
LDC-G.1,LDC,280 LƯƠNG ĐỊNH CỦA,"280 LƯƠNG ĐỊNH CỦA, AN PHÚ",THỦ ĐỨC,"1,1","G , B",G.1,
LDC-B.1,LDC,280 LƯƠNG ĐỊNH CỦA,"280 LƯƠNG ĐỊNH CỦA, AN PHÚ",THỦ ĐỨC,"1,1","G , B",B.1,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
4SRVSE-G.1,4SRVSE,4S RIVERSIDE GARDEN - BLOCK E,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G , B",G.1,NOTE GROUP - Công Ty Quảng Cáo Ngoài Trời Uy Tín Chuyên Nghiệp
4SRVSE-B.1,4SRVSE,4S RIVERSIDE GARDEN - BLOCK E,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G , B",B.1,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
4SRVSW-G.1,4SRVSW,4S RIVERSIDE GARDEN - BLOCK W,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G , B",G.1,MB NGÂN HÀNG QUÂN ĐỘI | MBBANK
4SRVSW-B.1,4SRVSW,4S RIVERSIDE GARDEN - BLOCK W,"ĐƯỜNG 17 , P. HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G , B",B.1,OPC PHARMA: Công ty Cổ phần Dược phẩm OPC - Trang chủ
AKA-B.1,AKA,AN KHANG - BLOCK A,"28-30 ĐƯỜNG 19, KHU PHỐ 5, PHƯỜNG AN PHÚ",THỦ ĐỨC,1,B,B.1,MB NGÂN HÀNG QUÂN ĐỘI | MBBANK
